Адрес,Широта,Долгота,"Цена, руб","Цена за кв.м, руб.","Площадь, кв.м"
"Санкт-Петербург г., Науки просп., 14К2",60.013398,30.401981,8800000,195556,45
"Санкт-Петербург г., Верности ул., 46К2",60.001113,30.432865,9980000,138611,72
"Санкт-Петербург г., Карпинского ул., 28К2",60.010173,30.424744,6200000,140909,44
"Санкт-Петербург г., Вавиловых ул., 11К3",60.020179,30.394075,6000000,200000,30
"Санкт-Петербург г., Верности ул., 22",60.005468,30.413075,7660000,247896,30.9
"Санкт-Петербург г., Гражданский просп., 75К1",60.016146,30.402223,12650000,284910,44.4
"Санкт-Петербург г., Науки просп., 14К2",60.013398,30.401981,8800000,195556,45
"Санкт-Петербург г., Науки просп., 12",60.014599,30.393456,7800000,176871,44.1
"Санкт-Петербург г., Гражданский просп., 75К1",60.016146,30.402223,12650000,284910,44.4
"Санкт-Петербург г., Науки просп., 73К2",60.004469,30.427475,8499000,191851,44.3
"Санкт-Петербург г., Софьи Ковалевской ул., 5К1",60.013249,30.412302,7700000,168860,45.6
"Санкт-Петербург г., Вавиловых ул., 11К3",60.020179,30.394075,5999999,196721,30.5
"Санкт-Петербург г., Вавиловых ул., 11К3",60.020179,30.394075,6000000,200000,30
"Санкт-Петербург г., Карпинского ул., 28К2",60.010173,30.424744,6200000,140909,44
"Санкт-Петербург г., Гражданский просп., 79К3",60.017355,30.408978,7700000,126437,60.9
"Санкт-Петербург г., Гражданский просп., 77к3А",60.015804,30.409032,6999000,225774,31
"Санкт-Петербург г., Северный просп., 91К4",60.014684,30.428166,5950000,108775,54.7
"Санкт-Петербург г., Карпинского ул., 28К1",60.009917,30.425948,9300000,159520,58.3
"Санкт-Петербург г., Софьи Ковалевской ул., 15К1",60.017337,30.416354,8100000,177632,45.6
"Санкт-Петербург г., Карпинского ул., 22",60.008635,30.424088,7350000,177108,41.5
"Санкт-Петербург г., Вавиловых ул., 15К1",60.023016,30.39377,7500000,258621,29
"Санкт-Петербург г., Карпинского ул., 28К1",60.009917,30.425948,9300000,159520,58.3
"Санкт-Петербург г., Гражданский просп., 77к3А",60.015804,30.409032,11350000,247817,45.8
"Санкт-Петербург г., Науки просп., 14К6",60.012939,30.404963,8499999,184382,46.1
"Санкт-Петербург г., Науки просп., 6",60.015916,30.386907,7950000,220222,36.1
"Санкт-Петербург г., Карпинского ул., 28К1",60.009917,30.425948,9300000,159520,58.3
"Санкт-Петербург г., Карпинского ул., 38К2",60.01333,30.428346,7500000,241935,31
"Санкт-Петербург г., Северный просп., 91К5",60.014549,30.428876,7400000,160870,46
"Санкт-Петербург г., Верности ул., 22",60.005468,30.413075,7700000,249191,30.9
"Санкт-Петербург г., Руставели ул., 34К1",60.011145,30.432721,8500000,152603,55.7
"Санкт-Петербург г., Науки просп., 14К6",60.012939,30.404963,8499999,184382,46.1
"Санкт-Петербург г., Гражданский просп., 77к3А",60.015804,30.409032,11350000,247817,45.8
"Санкт-Петербург г., Гражданский просп., 77к3А",60.015804,30.409032,6999000,225774,31
"Санкт-Петербург г., Софьи Ковалевской ул., 1К3",60.010915,30.411575,7500000,163043,46
"Санкт-Петербург г., Северный просп., 91К4",60.014684,30.428166,5950000,130197,45.7
"Санкт-Петербург г., Руставели ул., 34К1",60.011145,30.432721,8500000,152603,55.7
"Санкт-Петербург г., Софьи Ковалевской ул., 5К6",60.0123,30.416947,10100000,201597,50.1
"Санкт-Петербург г., Софьи Ковалевской ул., 1К3",60.010915,30.411575,7500000,164474,45.6
"Санкт-Петербург г., Гражданский просп., 90К5",60.01901,30.398351,7990000,261111,30.6
"Санкт-Петербург г., Северный просп., 73К1",60.020561,30.409679,7500000,242718,30.9
"Санкт-Петербург г., Софьи Ковалевской ул., 5К6",60.0123,30.416947,10100000,201597,50.1
"Санкт-Петербург г., Северный просп., 87К1",60.017495,30.421806,5500000,162722,33.8
"Санкт-Петербург г., Северный просп., 63К2",60.022656,30.399564,12900000,216807,59.5
"Санкт-Петербург г., Верности ул., 12",60.006588,30.408664,6200000,200000,31
"Санкт-Петербург г., Северный просп., 91К4",60.014684,30.428166,5950000,130197,45.7
"Санкт-Петербург г., Северный просп., 85К1",60.017845,30.419219,7100000,229032,31
"Санкт-Петербург г., Карпинского ул., 38К2",60.01333,30.428346,6390000,206129,31
"Санкт-Петербург г., Северный просп., 87К1",60.017495,30.421806,5500000,162722,33.8
"Санкт-Петербург г., Вавиловых ул., 13К2",60.021618,30.39386,12000000,138568,86.6
"Санкт-Петербург г., Софьи Ковалевской ул., 16К3",60.017279,30.411925,8590000,188377,45.6
"Санкт-Петербург г., Гражданский просп., 77к3А",60.015804,30.409032,6999000,225774,31
"Санкт-Петербург г., Науки просп., 28К3",60.010587,30.420216,9250000,183168,50.5
"Санкт-Петербург г., Софьи Ковалевской ул., 16К3",60.017279,30.411925,8590000,188377,45.6
"Санкт-Петербург г., Софьи Ковалевской ул., 16К3",60.017279,30.411925,8700000,190789,45.6
"Санкт-Петербург г., Карпинского ул., 38К2",60.01333,30.428346,6390000,203503,31.4
"Санкт-Петербург г., Карпинского ул., 32",60.01114,30.423774,10490000,180551,58.1
"Санкт-Петербург г., Верности ул., 12",60.006588,30.408664,6200000,200000,31
"Санкт-Петербург г., Вавиловых ул., 5К4",60.016856,30.391219,6675000,214630,31.1
"Санкт-Петербург г., Науки просп., 14К4",60.012732,30.403436,11200000,266667,42
