quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005225;Непокоренных;Кирпичные;1977;6;69.70000001;01.01.2024;10600000.0;152080.34
78:10:0005225;Непокоренных;Кирпичные;1977;8;76.30000001;01.01.2024;10600000.0;138925.29
78:10:0005225;Непокоренных;Кирпичные;1977;5;90.90000001;01.01.2024;13990000.0;153905.39
78:10:0005225;Непокоренных;Кирпичные;1977;5;68.80000001;01.04.2024;9200000.0;133720.93
78:10:0005225;Непокоренных;Кирпичные;1977;6;45.80000001;01.04.2024;7900000.0;172489.08
78:10:0005225;Непокоренных;Кирпичные;1977;8;30.80000001;01.10.2024;5400000.0;175324.68
78:10:0005225;Непокоренных;Кирпичные;1977;6;50.50000001;01.10.2024;7700000.0;152475.25
78:10:0005225;Непокоренных;Кирпичные;1977;4;35.90000001;01.10.2024;5150000.0;143454.04
78:10:0005225;Непокоренных;Кирпичные;1977;4;35.90000001;01.04.2025;6700000.0;186629.53
78:10:0005225;Непокоренных;Кирпичные;1977;5;31.30000001;01.04.2025;5317935.0;169902.08
78:10:0005225;Непокоренных;Кирпичные;1977;6;76.10000001;01.04.2025;11950000.0;157030.22
78:10:0005225;Руставели;Кирпичные;1969;2;54.40000001;01.04.2025;8800000.0;161764.71
78:10:0005225;Руставели;Кирпичные;1969;6;50.30000001;01.07.2025;8500000.0;168986.08
78:10:0005225;Руставели;Кирпичные;1969;9;57.10000001;01.07.2025;8500000.0;148861.65
78:10:0522301;Карпинского;Кирпичные;1970;10;51.90000001;01.01.2024;10300000.0;198458.57
78:10:0522301;Карпинского;Кирпичные;1968;9;51.50000001;01.04.2024;7500000.0;145631.07
78:10:0522301;Руставели;Кирпичные;1968;2;48.80000001;01.10.2024;8000000.0;163934.43
78:10:0522301;Карпинского;Кирпичные;1968;9;93.70000001;01.10.2024;15100000.0;161152.61
78:10:0522301;Руставели;Кирпичные;1968;4;34.60000001;01.10.2024;5950000.0;171965.32
78:10:0522301;Руставели;Кирпичные;1968;6;34.00000001;01.01.2025;6250000.0;183823.53
78:10:0522301;Карпинского;Кирпичные;1968;5;67.60000001;01.01.2025;12000000.0;177514.79
78:10:0005224;Карпинского;Кирпичные;1972;3;97.50000001;01.10.2024;13900000.0;142564.1
78:10:0005224;Карпинского;Кирпичные;1972;2;100.20000001;01.04.2025;15000000.0;149700.6
78:10:0005217;Карпинского;Кирпичные;1966;4;33.60000001;01.01.2024;6800000.0;202380.95
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;9;30.80000001;01.01.2024;5650000.0;183441.56
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;2;31.20000001;01.01.2024;6090000.0;195192.31
78:10:0005217;Софьи Ковалевской;Кирпичные;1966;4;57.90000001;01.01.2024;9175000.0;158462.87
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;44.80000001;01.01.2024;7300000.0;162946.43
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;10;55.90000001;01.01.2024;9500000.0;169946.33
78:10:0005217;Карпинского;Кирпичные;1966;2;32.00000001;01.01.2024;6250000.0;195312.5
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;9;79.60000001;01.04.2024;10700000.0;134422.11
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;5;30.60000001;01.04.2024;6699000.0;218921.57
78:10:0005217;Науки;Кирпичные;1970;5;51.00000001;01.04.2024;7500000.0;147058.82
78:10:0005217;Карпинского;Кирпичные;1973;1;54.70000001;01.04.2024;6900000.0;126142.6
78:10:0005217;Науки;Кирпичные;1970;12;50.50000001;01.04.2024;8000000.0;158415.84
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;9;56.40000001;01.04.2024;9200000.0;163120.57
78:10:0005217;Северный;Кирпичные;1969;9;58.60000001;01.04.2024;8300000.0;141638.23
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;4;61.70000001;01.04.2024;10150000.0;164505.67
78:10:0005217;Карпинского;Кирпичные;1966;6;49.50000001;01.04.2024;7000000.0;141414.14
78:10:0005217;Северный;Кирпичные;1969;8;84.40000001;01.04.2024;13050000.0;154620.85
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;8;30.70000001;01.04.2024;5600000.0;182410.42
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;7;48.90000001;01.04.2024;10500000.0;214723.93
78:10:0005217;Карпинского;Кирпичные;1973;3;35.50000001;01.07.2024;6500000.0;183098.59
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;8;36.90000001;01.07.2024;6950000.0;188346.88
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;8;31.20000001;01.07.2024;5250000.0;168269.23
78:10:0005217;Науки;Кирпичные;1970;5;35.60000001;01.07.2024;7400000.0;207865.17
78:10:0005217;Карпинского;Кирпичные;1966;7;34.20000001;01.10.2024;7000000.0;204678.36
78:10:0005217;Карпинского;Кирпичные;1973;11;36.80000001;01.10.2024;6200000.0;168478.26
78:10:0005217;Софьи Ковалевской;Кирпичные;1965;5;48.70000001;01.10.2024;8000000.0;164271.05
78:10:0005217;Софьи Ковалевской;Кирпичные;1973;9;54.20000001;01.10.2024;10200000.0;188191.88
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;6;30.40000001;01.10.2024;6000000.0;197368.42
78:10:0005217;Карпинского;Кирпичные;1966;9;34.50000001;01.01.2025;7260000.0;210434.78
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;2;97.40000001;01.01.2025;11850000.0;121663.24
78:10:0005217;Северный;Кирпичные;1969;9;44.20000001;01.01.2025;6800000.0;153846.15
78:10:0005217;Северный;Кирпичные;1969;7;36.10000001;01.01.2025;5600000.0;155124.65
78:10:0005217;Карпинского;Кирпичные;1966;2;32.60000001;01.04.2025;5200000.0;159509.2
78:10:0005217;Карпинского;Кирпичные;1966;7;35.20000001;01.04.2025;6200000.0;176136.36
78:10:0005217;Науки;Кирпичные;1970;7;72.70000001;01.04.2025;12300000.0;169188.45
78:10:0005217;Науки;"Кирпичные;Каркасно-панельные";1970;6;44.90000001;01.04.2025;9000000.0;200445.43
