number;okato;region_code;district;city;quarter_cad_number;street;realestate_type_code;wall_material_code;year_build;floor;purpose_code;area;period_start_date;deal_price;currency;doc_type;price_per_sqm
1;40288566000;78;;;78:07:0003179;Большая Зеленина;Помещения;Кирпичные;1949;5;Жилое помещение;89.800001;01.07.2025;3500000;рубль;ДКП;38975.5006795601
1;40288563000;78;;;78:07:0003075;Большая Монетная;Помещения;Кирпичные;1952;4;Жилое помещение;95.500001;01.07.2025;24400000;рубль;ДКП;255497.379523588
1;40288566000;78;;;78:07:0003155;Красного Курсанта;Помещения;Кирпичные;1952;2;Жилое помещение;57.400001;01.07.2025;2250000;рубль;ДКП;39198.6055888745
1;40288562000;78;;;78:07:0003033;Кронверкский;Помещения;Кирпичные;1953;1;Жилое помещение;72.500001;01.07.2025;17400000;рубль;ДКП;239999.996689655
1;40288564000;78;;;78:07:0312801;Ординарная;Помещения;Кирпичные;1953;1;Жилое помещение;17.900001;01.07.2025;5800000;рубль;ДКП;324022.328266909
1;40288564000;78;;;78:07:0312801;Ординарная;Помещения;Кирпичные;1953;4;Жилое помещение;55.600001;01.07.2025;15000000;рубль;ДКП;269784.167809637
1;40288561000;78;;;78:07:0003063;Блохина;Помещения;Кирпичные;1954;4;Жилое помещение;58.600001;01.07.2025;17240000;рубль;ДКП;294197.947197987
1;40288564000;78;;;78:07:0003124;Аптекарский;Помещения;Монолитные;1954;9;Жилое помещение;127.100001;01.07.2025;68000000;рубль;ДКП;535011.797521544
1;40288563000;78;;;78:07:0003003;Куйбышева;Помещения;Кирпичные;1955;2;Жилое помещение;67.300001;01.07.2025;10100000;рубль;ДКП;150074.291975122
1;40288564000;78;;;78:07:0003114;Малый П.С.;Помещения;Кирпичные;1955;2;Жилое помещение;81.800001;01.07.2025;35790000;рубль;ДКП;437530.556998404
1;40288564000;78;;;78:07:0003114;Малый П.С.;Помещения;Кирпичные;1955;4;Жилое помещение;56.300001;01.07.2025;17200000;рубль;ДКП;305506.211269872
1;40288564000;78;;;78:07:0003114;Малый П.С.;Помещения;Кирпичные;1955;5;Жилое помещение;44.600001;01.07.2025;19800000;рубль;ДКП;443946.178386857
1;40288564000;78;;;78:07:0003134;Ленина;Помещения;Кирпичные;1955;2;Жилое помещение;52.800001;01.07.2025;2500000;рубль;ДКП;47348.4839517333
1;40288565000;78;;;78:07:0003108;Ленина;Помещения;Кирпичные;1956;4;Жилое помещение;85.800001;01.07.2025;23000000;рубль;ДКП;268065.264940964
1;40288565000;78;;;78:07:0003108;Ленина;Помещения;Кирпичные;1956;6;Жилое помещение;47.800001;01.07.2025;10000000;рубль;ДКП;209205.016543828
2;40288561000;78;;;78:07:0003017;Добролюбова;Помещения;Кирпичные;1958;Мансарда;Жилое помещение;226.100001;01.07.2025;101000000;рубль;ДКП;446704.995812893
1;40288562000;78;;;78:07:0003084;Большая Пушкарская;Помещения;Кирпичные;1958;2;Жилое помещение;75.600001;01.07.2025;20900000;рубль;ДКП;276455.022798214
1;40288563000;78;;;78:07:0003075;Рентгена;Помещения;Кирпичные;1958;2;Жилое помещение;96.400001;01.07.2025;29000000;рубль;ДКП;300829.87239803
1;40288564000;78;;;78:07:0003128;Ординарная;Помещения;Кирпичные;1959;3;Жилое помещение;51.500001;01.07.2025;16500000;рубль;ДКП;320388.34329343
1;40288563000;78;;;78:07:0307701;Рентгена;Помещения;Кирпичные;1960;4;Жилое помещение;79.100001;01.07.2025;6205207.32;рубль;ДКП;78447.6263154535
1;40288562000;78;;;78:07:0003087;Большая Пушкарская;Помещения;Кирпичные;1961;2;Жилое помещение;44.800001;01.07.2025;10900000;рубль;ДКП;243303.565997688
1;40288561000;78;;;78:07:0003019;Добролюбова;Помещения;Кирпичные;1963;2;Жилое помещение;77.300001;01.07.2025;19000000;рубль;ДКП;245795.598372631
1;40288563000;78;;;78:07:0003003;Петровская;Помещения;Кирпичные;1966;6;Жилое помещение;44.900001;01.07.2025;26000000;рубль;ДКП;579064.575076513
1;40288566000;78;;;78:07:0003185;Красного Курсанта;Помещения;Кирпичные;1969;3;Жилое помещение;52.400001;01.07.2025;12850000;рубль;ДКП;245229.002953645
2;40288563000;78;;;78:07:0003055;Большая Монетная;Помещения;Кирпичные;1930;1;Жилое помещение;200.200001;45839;5247000;рубль;ДКП;26208.7910778782
1;40288565000;78;;;78:07:0003151;Офицерский;Помещения;Кирпичные;1932;4;Жилое помещение;300.900001;45839;1500000;рубль;ДКП;4985.04484883667
1;40288564000;78;;;78:07:0003170;Каменноостровский;Помещения;Кирпичные;1933;2;Жилое помещение;70.500001;45839;2800000;рубль;ДКП;39716.3114933857
2;40288564000;78;;;78:07:0003170;Каменноостровский;Помещения;Кирпичные;1933;4;Жилое помещение;489.200001;45839;5100000;рубль;ДКП;10425.1839525242
1;40288566000;78;;;78:07:0003208;Грота;Помещения;"Из прочих материалов;Кирпичные";1934;8;Жилое помещение;137.000001;45839;57500000;рубль;ДКП;419708.026133518
1;40288563000;78;;;78:07:0003032;Малая Посадская;Помещения;Кирпичные;1935;2;Жилое помещение;57.000001;45839;15000000;рубль;ДКП;263157.890120037
1;40288566000;78;;;78:07:0003228;Каменноостровский;Помещения;Кирпичные;1935;3;Жилое помещение;49.300001;45839;12300000;рубль;ДКП;249492.895547811
1;40288564000;78;;;78:07:0003170;Чапыгина;Помещения;Кирпичные;1936;3;Жилое помещение;73.400001;45839;18000000;рубль;ДКП;245231.604288398
1;40288566000;78;;;78:07:0003208;Профессора Попова;Помещения;Кирпичные;1936;3;Жилое помещение;58.200001;45839;14400000;рубль;ДКП;247422.676161122
1;40288561000;78;;;78:07:0003040;Блохина;Помещения;Кирпичные;1938;2;Жилое помещение;628.700001;45839;4400000;рубль;ДКП;6998.56846349838
1;40288562000;78;;;78:07:0003034;Кронверкский;Помещения;Кирпичные;1938;3;Жилое помещение;50.400001;45839;13500000;рубль;ДКП;267857.137542517
1;40288566000;78;;;78:07:0003207;Вяземский;Помещения;Кирпичные;1938;4;Жилое помещение;70.500001;45839;23000000;рубль;ДКП;326241.130124239
1;40288563000;78;;;78:07:0003075;Большая Монетная;Помещения;Кирпичные;1939;6;Жилое помещение;67.400001;45839;16000000;рубль;ДКП;237388.72051352
1;40288566000;78;;;78:07:0003174;Левашовский;Помещения;Кирпичные;1939;1;Жилое помещение;44.200001;45839;10272000;рубль;ДКП;232398.184787371
2;40288566000;78;;;78:07:0003174;Левашовский;Помещения;Кирпичные;1939;5;Жилое помещение;542.500001;45839;19540000;рубль;ДКП;36018.4331133301
1;40288562000;78;;;78:07:0003033;Каменноостровский;Помещения;Кирпичные;1900;4;Жилое помещение;157.500001;45839;2800000;рубль;ДКП;17777.777664903
2;40288562000;78;;;78:07:0003057;Мира;Помещения;Кирпичные;1900;2;Жилое помещение;205.400001;45839;5300000;рубль;ДКП;25803.3104878125
1;40288562000;78;;;78:07:0003070;Саблинская;Помещения;Кирпичные;1900;мансарда;Жилое помещение;36.900001;45839;8600000;рубль;ДКП;233062.324307254
1;40288562000;78;;;78:07:0003084;Большая Пушкарская;Помещения;Кирпичные;1900;1;Жилое помещение;50.300001;45839;21200000;рубль;ДКП;421471.164583078
1;40288564000;78;;;78:07:0003130;Бармалеева;Помещения;Кирпичные;1900;4;Жилое помещение;55.500001;45839;14000000;рубль;ДКП;252252.247707167
1;40288564000;78;;;78:07:0003133;Малый П.С.;Помещения;Кирпичные;1900;3;Жилое помещение;60.600001;45839;13000000;рубль;ДКП;214521.448605257
1;40288564000;78;;;78:07:0003133;Малый П.С.;Помещения;Кирпичные;1900;5;Жилое помещение;65.100001;45839;17000000;рубль;ДКП;261136.708738299
1;40288564000;78;;;78:07:0312801;Всеволода Вишневского;Помещения;Кирпичные;1900;1;Жилое помещение;66.400001;45839;14000000;рубль;ДКП;210843.370318624
1;40288565000;78;;;78:07:0003142;Ропшинская;Помещения;Кирпичные;1900;4;Жилое помещение;75.000001;45839;15200000;рубль;ДКП;202666.663964444
1;40288561000;78;;;78:07:0003046;Съезжинская;Помещения;Кирпичные;1901;3;Жилое помещение;70.900001;45839;2800000;рубль;ДКП;39492.2420381912
1;40288561000;78;;;78:07:0003066;Зверинская;Помещения;Кирпичные;1901;1;Жилое помещение;67.900001;45839;11000000;рубль;ДКП;162002.943122195
1;40288561000;78;;;78:07:0003067;Большой П.С.;Помещения;Кирпичные;1901;2;Жилое помещение;195.900001;45839;4800000;рубль;ДКП;24502.2969652767
1;40288561000;78;;;78:07:0303701;Введенская;Помещения;Кирпичные;1901;4;Жилое помещение;127.300001;45839;22000000;рубль;ДКП;172820.108618852
1;40288563000;78;;;78:07:0003032;Большая Посадская;Помещения;Кирпичные;1901;4;Жилое помещение;65.600001;45839;1800000;рубль;ДКП;27439.0239719661
1;40288565000;78;;;78:07:0003096;Большой П.С.;Помещения;Кирпичные;1901;5;Жилое помещение;159.700001;45839;25750000;рубль;ДКП;161239.823661617
1;40288565000;78;;;78:07:0003135;Ленина;Помещения;Кирпичные;1901;1;Жилое помещение;59.900001;45839;4645334.4;рубль;ДКП;77551.4911927965
2;40288566000;78;;;78:07:0003179;Большая Зеленина;Помещения;Кирпичные;1901;4;Жилое помещение;121.200001;45839;40000000;рубль;ДКП;330033.000577285
1;40288561000;78;;;78:07:0003042;Добролюбова;Помещения;Кирпичные;1902;3;Жилое помещение;50.400001;45839;11800000;рубль;ДКП;234126.979481608
1;40288562000;78;;;78:07:0003088;Большой П.С.;Помещения;Кирпичные;1902;1;Жилое помещение;38.100001;45839;11450000;рубль;ДКП;300524.926495409
1;40288562000;78;;;78:07:0003088;Большой П.С.;Помещения;Кирпичные;1902;4;Жилое помещение;143.300001;45839;43000000;рубль;ДКП;300069.781576624
1;40288563000;78;;;78:07:0003010;Малая Посадская;Помещения;Кирпичные;1902;5;Жилое помещение;67.100001;45839;13600000;рубль;ДКП;202682.560317697
2;40288564000;78;;;78:07:0003076;Каменноостровский;Помещения;Кирпичные;1902;6;Жилое помещение;270.000001;45839;6350000;рубль;ДКП;23518.5184314129
1;40288564000;78;;;78:07:0003112;Бармалеева;Помещения;Кирпичные;1902;2;Жилое помещение;56.200001;45839;11500000;рубль;ДКП;204626.330878535
1;40288565000;78;;;78:07:0003150;Красного Курсанта;Помещения;Кирпичные;1902;1;Жилое помещение;65.700001;45839;12300000;рубль;ДКП;187214.609022609
1;40288566000;78;;;78:07:0003161;Чкаловский;Помещения;Кирпичные;1902;4;Жилое помещение;63.400001;45839;11000000;рубль;ДКП;173501.574550448
3;40288561000;78;;;78:07:0003019;Блохина;Помещения;Монолитные;1903;3;Жилое помещение;173.100001;45839;74547000;рубль;ДКП;430658.576368235
3;40288561000;78;;;78:07:0003019;Блохина;Помещения;Монолитные;1903;4;Жилое помещение;144.900001;45839;86669506;рубль;ДКП;598133.232587072
4;40288561000;78;;;78:07:0003019;Блохина;Помещения;Монолитные;1903;5;Жилое помещение;148.400001;45839;68972602;рубль;ДКП;464774.942959738
1;40288561000;78;;;78:07:0003019;Блохина;Помещения;Монолитные;1903;6;Жилое помещение;32.300001;45839;12700000;рубль;ДКП;393188.842316135
2;40288561000;78;;;78:07:0003019;Блохина;Помещения;Монолитные;1903;мансарда;Жилое помещение;48.800001;45839;40742075;рубль;ДКП;834878.568957406
1;40288561000;78;;;78:07:0003040;Зверинская;Помещения;Кирпичные;1903;5;Жилое помещение;47.700001;45839;13000000;рубль;ДКП;272536.68191747
1;40288562000;78;;;78:07:0003033;Каменноостровский;Помещения;Кирпичные;1903;5;Жилое помещение;184.100001;45839;4600000;рубль;ДКП;24986.4202879608
2;40288562000;78;;;78:07:0003088;Большая Пушкарская;Помещения;Кирпичные;1903;4;Жилое помещение;294.000001;45839;30000000;рубль;ДКП;102040.815979453
1;40288563000;78;;;78:07:0003023;Каменноостровский;Помещения;Кирпичные;1903;2;Жилое помещение;202.600001;45839;3650000;рубль;ДКП;18015.7945803761
1;40288563000;78;;;78:07:0003028;Чапаева;Помещения;Кирпичные;1903;2;Жилое помещение;90.700001;45839;18000000;рубль;ДКП;198456.447646566
1;40288564000;78;;;78:07:0003076;Льва Толстого;Помещения;Кирпичные;1903;3;Жилое помещение;108.700001;45839;3500000;рубль;ДКП;32198.7117553016
1;40288565000;78;;;78:07:0003105;Ораниенбаумская;Помещения;Кирпичные;1903;5;Жилое помещение;74.300001;45839;13800000;рубль;ДКП;185733.510286225
1;40288565000;78;;;78:07:0003106;Гатчинская;Помещения;Кирпичные;1903;3;Жилое помещение;158.500001;45839;3900000;рубль;ДКП;24605.6780781976
1;40288565000;78;;;78:07:0003107;Лахтинская;Помещения;Кирпичные;1903;3;Жилое помещение;147.900001;45839;3000000;рубль;ДКП;20283.9755220827
1;40288565000;78;;;78:07:0003108;Лахтинская;Помещения;Кирпичные;1903;2;Жилое помещение;134.400001;45839;3300000;рубль;ДКП;24553.5712458812
2;40288566000;78;;;78:07:0003178;Большая Зеленина;Помещения;Кирпичные;1903;3;Жилое помещение;604.800001;45839;3400000;рубль;ДКП;5621.69311239799
1;40288561000;78;;;78:07:0003045;Блохина;Помещения;Кирпичные;1904;2;Жилое помещение;61.800001;45839;10650000;рубль;ДКП;172330.094298866
1;40288561000;78;;;78:07:0003046;Съезжинская;Помещения;Кирпичные;1904;3;Жилое помещение;154.500001;45839;7000000;рубль;ДКП;45307.4430724437
1;40288561000;78;;;78:07:0003046;Съезжинская;Помещения;Кирпичные;1904;5;Жилое помещение;132.600001;45839;1700000;рубль;ДКП;12820.5127238272
1;40288562000;78;;;78:07:0003060;Воскова;Помещения;Кирпичные;1904;5;Жилое помещение;63.900001;45839;14400000;рубль;ДКП;225352.109149419
1;40288562000;78;;;78:07:0003084;Большой П.С.;Помещения;Кирпичные;1904;3;Жилое помещение;54.400001;45839;12000000;рубль;ДКП;220588.231239187
1;40288563000;78;;;78:07:0003010;Малая Посадская;Помещения;Кирпичные;1904;2;Жилое помещение;113.900001;45839;16900000;рубль;ДКП;148375.76691505
2;40288563000;78;;;78:07:0003010;Малая Посадская;Помещения;Кирпичные;1904;3;Жилое помещение;284.000001;45839;27200000;рубль;ДКП;95774.6475500893
1;40288564000;78;;;78:07:0003109;Полозова;Помещения;Кирпичные;1904;2;Жилое помещение;46.100001;45839;12145000;рубль;ДКП;263449.018146442
1;40288566000;78;;;78:07:0003177;Лодейнопольская;Помещения;Кирпичные;1904;5;Жилое помещение;99.100001;45839;2800000;рубль;ДКП;28254.2883122675
1;40288566000;78;;;78:07:0003178;Барочная;Помещения;Кирпичные;1904;6;Жилое помещение;69.800001;45839;14400000;рубль;ДКП;206303.721972726
1;40288561000;78;;;78:07:0003020;Блохина;Помещения;Кирпичные;1905;3;Жилое помещение;115.900001;45839;8000000;рубль;ДКП;69025.0209747625
1;40288565000;78;;;78:07:0003100;Ропшинская;Помещения;Кирпичные;1905;4;Жилое помещение;108.300001;45839;1800000;рубль;ДКП;16620.4984614912
1;40288565000;78;;;78:07:0003100;Ропшинская;Помещения;Кирпичные;1905;5;Жилое помещение;40.700001;45839;8850000;рубль;ДКП;217444.712102096
1;40288565000;78;;;78:07:0003105;Большой П.С.;Помещения;Кирпичные;1905;2;Жилое помещение;86.000001;45839;3300000;рубль;ДКП;38372.0925770687
2;40288565000;78;;;78:07:0003105;Большой П.С.;Помещения;Кирпичные;1905;4;Жилое помещение;349.200001;45839;6500000;рубль;ДКП;18613.9747462372
1;40288566000;78;;;78:07:0003154;Офицерский;Помещения;Кирпичные;1905;5;Жилое помещение;98.800001;45839;18300000;рубль;ДКП;185222.670190054
1;40288564000;78;;;78:07:0003116;Каменноостровский;Помещения;Кирпичные;1906;5;Жилое помещение;246.300001;45839;3800000;рубль;ДКП;15428.3393608269
1;40288564000;78;;;78:07:0003134;Ленина;Помещения;Кирпичные;1906;4;Жилое помещение;61.500001;45839;19100000;рубль;ДКП;310569.100641153
1;40288565000;78;;;78:07:0003104;Большой П.С.;Помещения;Кирпичные;1906;3;Жилое помещение;99.200001;45839;6000000;рубль;ДКП;60483.8703580255
1;40288565000;78;;;78:07:0003190;Красного Курсанта;Помещения;Кирпичные;1906;1;Жилое помещение;44.300001;45839;8100000;рубль;ДКП;182844.239664916
1;40288566000;78;;;78:07:0003161;Большая Зеленина;Помещения;Кирпичные;1906;4;Жилое помещение;81.600001;45839;2500000;рубль;ДКП;30637.2545265042
1;40288563000;78;;;78:07:0003008;Куйбышева;Помещения;Кирпичные;1907;5;Жилое помещение;233.700001;45839;3400000;рубль;ДКП;14548.5664760438
1;40288563000;78;;;78:07:0003023;Малая Посадская;Помещения;Кирпичные;1907;6;Жилое помещение;57.500001;45839;12600000;рубль;ДКП;219130.430971645
1;40288565000;78;;;78:07:0003141;Ропшинская;Помещения;Кирпичные;1907;3;Жилое помещение;77.400001;45839;4000000;рубль;ДКП;51679.5858956126
1;40288562000;78;;;78:07:0003071;Кропоткина;Помещения;Кирпичные;1908;1;Жилое помещение;41.600001;45839;8000000;рубль;ДКП;192307.687684911
1;40288562000;78;;;78:07:0003072;Ленина;Помещения;Кирпичные;1908;1;Жилое помещение;49.000001;45839;11200000;рубль;ДКП;228571.423906706
1;40288562000;78;;;78:07:0003072;Ленина;Помещения;Кирпичные;1908;5;Жилое помещение;67.700001;45839;12000000;рубль;ДКП;177252.582315324
1;40288562000;78;;;78:07:0003087;Большая Пушкарская;Помещения;Кирпичные;1908;2;Жилое помещение;118.400001;45839;3213433;рубль;ДКП;27140.4811896919
1;40288562000;78;;;78:07:0003090;Большой П.С.;Помещения;Кирпичные;1908;2;Жилое помещение;119.700001;45839;1800290;рубль;ДКП;15040.0165827902
1;40288562000;78;;;78:07:0003090;Большой П.С.;Помещения;Кирпичные;1908;6;Жилое помещение;94.500001;45839;22000000;рубль;ДКП;232804.230340696
1;40288563000;78;;;78:07:0003010;Малая Посадская;Помещения;Кирпичные;1908;2;Жилое помещение;95.900001;45839;19000000;рубль;ДКП;198123.04277244
1;40288564000;78;;;78:07:0003114;Большой П.С.;Помещения;Кирпичные;1908;3;Жилое помещение;135.500001;45839;4100000;рубль;ДКП;30258.3023597173
1;40288564000;78;;;78:07:0003170;Каменноостровский;Помещения;Кирпичные;1908;4;Жилое помещение;135.300001;45839;21000000;рубль;ДКП;155210.641868362
1;40288564000;78;;;78:07:0003170;Каменноостровский;Помещения;Кирпичные;1908;6;Жилое помещение;109.800001;45839;2000000;рубль;ДКП;18214.9360818312
1;40288565000;78;;;78:07:0003142;Ропшинская;Помещения;Кирпичные;1908;2;Жилое помещение;55.700001;45839;5000000;рубль;ДКП;89766.6052106534
