quarter_cad_number,wall_material_code,year_build,floor,area,period_start_date,deal_price,price_per_sqm
78:10:0005217,Крупнопанельные,1965,3,193.9,2024-01-01,27550000.0,142083.54822073234
78:10:0005210,Кирпичные;Каркасно-панельные;Монолитные,2011,9,38.9,2024-01-01,9200000.0,236503.8560411311
78:10:0005210,Кирпичные,2000,10,38.8,2024-01-01,8850000.0,228092.78350515466
78:10:0005211,Крупнопанельные,1972,7,50.5,2024-01-01,1500000.0,29702.970297029704
78:10:0005212,Монолитные,2008,16,90.8,2024-01-01,21500000.0,236784.140969163
78:10:0005210,Кирпичные;Монолитные,2007,2,37.1,2024-01-01,9300000.0,250673.85444743934
78:10:0005212,Крупнопанельные,1968,1,58.9,2024-01-01,7300000.0,123938.87945670629
78:10:0522301,Крупнопанельные,1967,4,94.1,2024-01-01,13500000.0,143464.3995749203
78:10:0005212,Кирпичные,1970,4,45.4,2024-01-01,9000000.0,198237.88546255507
78:10:0005211,Крупнопанельные,1968,4,76.2,2024-01-01,8440000.0,110761.15485564304
78:10:0005211,Крупнопанельные,1967,5,41.7,2024-01-01,6325000.0,151678.6570743405
78:10:0522301,Крупнопанельные,1966,1,59.4,2024-01-01,1682442.0,28323.939393939396
78:10:0005217,Кирпичные,1966,4,33.6,2024-01-01,6800000.0,202380.95238095237
78:10:0005210,Монолитные,2007,10,42.4,2024-01-01,3500000.0,82547.16981132075
78:10:0005209,Кирпичные,1964,4,42.4,2024-01-01,6350000.0,149764.15094339623
78:10:0005211,Крупнопанельные,1972,6,45.4,2024-01-01,2500000.0,55066.07929515419
78:10:0005212,Крупнопанельные,1968,7,90.1,2024-01-01,12700000.0,140954.4950055494
78:10:0005218,Крупнопанельные,1965,2,61.40000000000001,2024-01-01,5466000.0,89022.80130293158
78:10:0005224,Крупнопанельные,1967,3,72.4,2024-01-01,8000000.0,110497.23756906076
78:10:0005225,Крупнопанельные,1967,4,89.8,2024-01-01,9050000.0,100779.51002227172
78:10:0005217,Крупнопанельные,1966,2,178.3,2024-01-01,11600000.0,65058.889512058326
78:10:0005209,Кирпичные,1964,1,49.7,2024-01-01,6700000.0,134808.85311871226
78:10:0005218,Крупнопанельные,1965,3,104.3,2024-01-01,16200000.0,155321.18887823587
78:10:0522301,Крупнопанельные,1967,2,44.6,2024-01-01,6299000.0,141233.18385650223
78:10:0005210,Кирпичные;Монолитные,2007,11,38.2,2024-01-01,9600000.0,251308.90052356018
78:10:0005217,Крупнопанельные,1966,4,46.0,2024-01-01,6200000.0,134782.60869565216
78:10:0005212,Крупнопанельные,1967,3,45.2,2024-01-01,6200000.0,137168.14159292035
78:10:0005209,Кирпичные,1968,3,63.1,2024-01-01,7550000.0,119651.3470681458
78:10:0005217,Крупнопанельные,1966,7,93.3,2024-01-01,7604000.0,81500.5359056806
78:10:0005210,Кирпичные,2005,6,44.9,2024-01-01,10500000.0,233853.0066815145
78:10:0005217,Кирпичные;Каркасно-панельные,1970,9,30.8,2024-01-01,5650000.0,183441.55844155845
78:10:0005224,Кирпичные,1987,3,63.4,2024-01-01,11900000.0,187697.16088328077
78:10:0005217,Крупнопанельные,1966,9,30.7,2024-01-01,5900000.0,192182.41042345276
78:10:0005211,Крупнопанельные,1972,5,44.4,2024-01-01,2450000.0,55180.180180180185
78:10:0005212,Крупнопанельные,1968,2,29.0,2024-01-01,7690000.0,265172.4137931034
